DATE,DailyAverageDryBulbTemperature,DailyPrecipitation,VP
2024-01-01T23:59:00,4.444444444444445,0.0,477.5006572502997
2024-01-02T23:59:00,3.3333333333333335,0.0,497.76294494176864
2024-01-03T23:59:00,0.5555555555555556,0.0,518.7832291853343
2024-01-04T23:59:00,2.2222222222222223,0.0,477.5006572502997
2024-01-05T23:59:00,1.6666666666666667,0.0,439.15586100439765
2024-01-06T23:59:00,6.111111111111111,6.858,839.6773884034188
2024-01-07T23:59:00,5.555555555555555,0.508,636.1291018566154
2024-01-08T23:59:00,4.444444444444445,0.508,586.6386452611385
2024-01-09T23:59:00,6.666666666666667,68.326,873.012996737268
2024-01-10T23:59:00,2.2222222222222223,0.0,518.7832291853343
2024-01-11T23:59:00,5.0,0.0,518.7832291853343
2024-01-12T23:59:00,3.3333333333333335,14.224,746.3089206641145
2024-01-13T23:59:00,3.888888888888889,0.0,421.02777692472847
2024-01-14T23:59:00,1.6666666666666667,2.032,403.56651383510285
2024-01-15T23:59:00,-3.3333333333333335,27.94,421.02777692472847
2024-01-16T23:59:00,-6.666666666666667,2.54,249.7989094338402
2024-01-17T23:59:00,-11.11111111111111,0.0,181.57164215380575
2024-01-18T23:59:00,-7.222222222222222,2.2859999999999996,298.28853202106666
2024-01-19T23:59:00,-3.888888888888889,1.016,403.56651383510285
2024-01-20T23:59:00,-8.88888888888889,0.0,181.57164215380575
2024-01-21T23:59:00,-7.777777777777778,0.0,218.1743542197058
2024-01-22T23:59:00,-1.6666666666666667,0.0,339.9718692333749
2024-01-23T23:59:00,3.888888888888889,0.0,563.1957738744044
2024-01-24T23:59:00,6.666666666666667,20.32,839.6773884034188
2024-01-25T23:59:00,12.777777777777779,18.541999999999998,1425.5509052376797
2024-01-26T23:59:00,14.444444444444445,0.254,1374.1662890715995
2024-01-27T23:59:00,9.444444444444445,13.462,1184.5359655405257
2024-01-28T23:59:00,8.88888888888889,1.016,746.3089206641145
2024-01-29T23:59:00,4.444444444444445,0.0,610.9407608180927
2024-01-30T23:59:00,3.3333333333333335,2.54,610.9407608180927
2024-01-31T23:59:00,3.888888888888889,0.0,610.9407608180927
2024-02-01T23:59:00,5.555555555555555,0.0,563.1957738744044
2024-02-02T23:59:00,10.555555555555555,0.0,746.3089206641145
2024-02-03T23:59:00,9.444444444444445,0.0,717.2917820161603
2024-02-04T23:59:00,7.222222222222222,0.0,518.7832291853343
